-7.03386 -219.396 -263.318 -300.98 -315.897 -317.716 -337.656 -341.227 -363.396 -376.342 -386.611 -396 -396 -401.361 -401.361 -401.361 -401.361 -401.361 
1.77163 -169.473 -248.253 -265.337 -285.788 -320.84 -338.881 -364.069 -364.069 -364.069 -364.069 -364.069 -364.069 -364.069 -364.069 -364.069 -364.069 -364.069 
20.346 -174.047 -266.918 -320.359 -344.621 -347.623 -357.493 -359.999 -359.999 -371.192 -372.004 -372.004 -372.251 -372.693 -374.398 -375.264 -375.264 -375.264 
-6.10851 -258.321 -309.162 -328.027 -354.138 -354.138 -354.138 -354.138 -354.138 -354.138 -354.138 -354.138 -354.138 -354.138 -354.138 -354.138 -354.138 -354.138 
-37.7019 -215.433 -293.459 -322.708 -327.529 -374.691 -378.447 -379.917 -379.917 -379.917 -382.694 -386.559 -386.559 -386.559 -386.559 -386.559 -386.559 -386.559 
16.302 -284.19 -330.799 -356.12 -362.902 -363.208 -363.208 -363.208 -363.208 -363.208 -363.208 -363.208 -363.208 -363.208 -363.208 -363.208 -363.208 -363.208 
-2.39088 -233.289 -290.668 -321.85 -342.524 -356.173 -361.628 -361.628 -361.628 -361.628 -361.628 -361.628 -361.628 -361.628 -361.628 -361.628 -361.628 -361.628 
4.64621 -246.565 -314.801 -346.156 -352.282 -357.197 -357.197 -357.197 -357.197 -357.197 -357.197 -357.197 -357.197 -357.197 -357.197 -357.197 -357.197 -357.197 
-24.4056 -252.802 -287.232 -331.652 -344.341 -353.099 -359.501 -359.501 -359.501 -359.501 -359.501 -359.501 -370.771 -375.309 -392.722 -392.722 -392.722 -392.722 
32.0799 -197.682 -284.633 -330.065 -330.065 -339.202 -352.871 -358.655 -365.41 -372.87 -377.307 -395.415 -403.04 -403.04 -403.04 -403.04 -403.04 -403.04 
